Emittent;BaFin-ID;ISIN;Meldepflichtiger;Position / Status;Art des Instruments;Art des Geschäfts;Durchschnittspreis;Aggregiertes Volumen;Mitteilungsdatum;Datum des Geschäfts;Ort des Geschäfts;Datum der Aktivierung
TeamViewer AG;40029194;DE000A2YN900;Steil, Oliver;Vorstand;Aktie;Sonstiges;14,21 EUR;284.150,64 EUR;14.03.2023;13.03.2023;;14.03.2023 16:10:47
TeamViewer AG;40029194;DE000A2YN900;Steil, Oliver;Vorstand;Aktie;Sonstiges;14,66 EUR;733.018,65 EUR;14.03.2023;13.03.2023;;14.03.2023 16:05:27
Stabilus SE;40022271;DE000STAB1L8;Büchsner, Dr. Michael;Vorstand;Aktie;Kauf;59,36 EUR;29.680,00 EUR;14.03.2023;13.03.2023;XETRA;14.03.2023 14:31:33
STRATEC SE;40001599;DE000STRA555;Wolfinger, Marcus;Vorstand;Aktie;Kauf;66,60 EUR;14.652,00 EUR;13.03.2023;13.03.2023;QUOTRIX;13.03.2023 13:17:58
METRO AG;40025939;DE000BFB0019;Greubel, Dr. Steffen;Vorstand;Aktie;Kauf;7,97 EUR;119.625,00 EUR;10.03.2023;10.03.2023;Unicredit Bank AG;13.03.2023 09:34:32
LEG Immobilien SE;40019594;DE000LEG1110;Wiegel, Dr. Volker;Vorstand;Aktie;Kauf;58,82 EUR;41.174,00 EUR;10.03.2023;10.03.2023;Xetra;13.03.2023 09:34:32
STRATEC SE;40001599;DE000STRA555;Wolfinger, Marcus;Vorstand;Aktie;Kauf;68,70 EUR;13.740,00 EUR;10.03.2023;10.03.2023;QUOTRIX;13.03.2023 09:23:03
HUGO BOSS AG;40000943;DE000A1PHFF7;Müller, Yves Marc;Vorstand;Aktie;Kauf;60,44 EUR;60.440,00 EUR;13.03.2023;10.03.2023;XETRA;13.03.2023 10:04:45
KION GROUP AG;40020514;DE000KGX8881;Dandashly, Hasan;Vorstand;Aktie;Kauf;33,79 EUR;101.367,94 EUR;13.03.2023;10.03.2023;;13.03.2023 15:21:53
LEG Immobilien SE;40019594;DE000LEG1110;von Lackum, Lars;Vorstand;Aktie;Kauf;59,50 EUR;41.650,00 EUR;13.03.2023;10.03.2023;Tradegate;13.03.2023 11:44:33
STRATEC SE;40001599;DE000STRA555;Heni, Prof. Dr. Georg;Aufsichtsrat;Aktie;Kauf;67,50 EUR;27.000,00 EUR;10.03.2023;10.03.2023;gettex (Börse München);13.03.2023 09:58:20
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;27,00 EUR;42.013,80 EUR;13.03.2023;10.03.2023;Xetra;14.03.2023 14:02:12
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Kauf;11,30 EUR;2.825,00 EUR;13.03.2023;10.03.2023;Xetra;14.03.2023 14:02:12
Infineon Technologies AG;40001924;DE0006231004;Wijburg, Dr. Rutger;Vorstand;Aktie;Sonstiges;35,12 EUR;43.411,73 EUR;09.03.2023;09.03.2023;Xetra;10.03.2023 08:17:55
Infineon Technologies AG;40001924;DE0006231004;Wijburg, Dr. Rutger;Vorstand;Aktie;Sonstiges;35,12 EUR;89.773,78 EUR;09.03.2023;09.03.2023;;10.03.2023 08:17:55
Infineon Technologies AG;40001924;DE0006231004;Urschitz, Andreas;Vorstand;Aktie;Sonstiges;35,12 EUR;72.633,87 EUR;09.03.2023;09.03.2023;Xetra;10.03.2023 08:17:55
Infineon Technologies AG;40001924;DE0006231004;Urschitz, Andreas;Vorstand;Aktie;Sonstiges;35,12 EUR;150.325,42 EUR;09.03.2023;09.03.2023;;10.03.2023 08:17:55
Infineon Technologies AG;40001924;DE0006231004;Hanebeck, Jochen;Vorstand;Aktie;Sonstiges;35,12 EUR;101.715,52 EUR;09.03.2023;09.03.2023;Xetra;10.03.2023 08:17:55
Infineon Technologies AG;40001924;DE0006231004;Hanebeck, Jochen;Vorstand;Aktie;Sonstiges;35,12 EUR;210.525,84 EUR;09.03.2023;09.03.2023;;10.03.2023 08:17:55
LEG Immobilien SE;40019594;DE000LEG1110;Wiegel, Dr. Volker;Vorstand;Aktie;Kauf;62,00 EUR;60.447,28 EUR;09.03.2023;09.03.2023;Xetra;10.03.2023 08:07:06
Infineon Technologies AG;40001924;DE0006231004;Gruber, Peter;Aufsichtsrat;Aktie;Sonstiges;35,12 EUR;41.936,58 EUR;09.03.2023;09.03.2023;Xetra;10.03.2023 08:17:55
Infineon Technologies AG;40001924;DE0006231004;Gruber, Peter;Aufsichtsrat;Aktie;Sonstiges;35,12 EUR;86.753,22 EUR;09.03.2023;09.03.2023;;10.03.2023 08:17:55
3U Holding AG;40001675;DE0005167902;Schmidt, Michael;Aufsichtsrat;Aktie;Kauf;4,96 EUR;4.960,00 EUR;13.03.2023;09.03.2023;Xetra;13.03.2023 13:11:45
3U Holding AG;40001675;DE0005167902;Schmidt, Michael;Aufsichtsrat;Aktie;Kauf;4,89 EUR;40.777,71 EUR;13.03.2023;09.03.2023;Xetra;13.03.2023 13:05:55
action press AG;40031194;DE000A3ESE35;GFI Gesellschaft für Informationswissenschaft GmbH;in enger Beziehung;Aktie;Verkauf;1,45 EUR;1.450.000,00 EUR;13.03.2023;09.03.2023;;13.03.2023 13:17:58
HAMBORNER REIT AG;40001026;DE000DDZ56Z9;CMB Beteiligungs KG;in enger Beziehung;Derivat;Sonstiges;5,64 EUR;16.920,00 EUR;10.03.2023;09.03.2023;Deutsche Börse Frankfurt;10.03.2023 11:16:45
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Verkauf;11,00 EUR;2.899.996,00 EUR;14.03.2023;09.03.2023;;14.03.2023 14:57:47
JDC Group AG;40005122;DE000A0B9N37;Grace Beteiligungs GmbH;in enger Beziehung;Aktie;Kauf;17,60 EUR;5.281,30 EUR;13.03.2023;09.03.2023;XETRA;14.03.2023 14:21:57
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Kauf;11,50 EUR;575,00 EUR;13.03.2023;09.03.2023;Xetra;14.03.2023 14:12:31
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;26,96 EUR;30.627,00 EUR;13.03.2023;09.03.2023;Xetra;14.03.2023 14:12:31
Biofrontera AG;40005059;DE0006046113;Deutsche Balaton Aktiengesellschaft;in enger Beziehung;Aktie;Kauf;1,27 EUR;6.290,31 EUR;13.03.2023;09.03.2023;Xetra;14.03.2023 13:53:21
action press AG;40031194;DE000A3ESE35;Ulli Michel Beteiligungen UG (haftungsbeschränkt);in enger Beziehung;Aktie;Verkauf;1,45 EUR;1.450.000,00 EUR;13.03.2023;09.03.2023;;13.03.2023 14:11:34
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Adelt, Isabelle;Vorstand;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:48:48
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Fuchs, Stefan;Vorstand;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:48:48
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Reister, Dr. Timo;Vorstand;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:38:17
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Rheinboldt, Dr. Ralph;Vorstand;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:38:17
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Lindemann, Dr. Lutz;Vorstand;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:38:17
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Fuchs, Dr. Susanne;Aufsichtsrat;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:48:48
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Loos, Dr. Christoph;Aufsichtsrat;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:48:48
Symrise AG;40005903;DE000SYM9999;König, Michael;Aufsichtsrat;Aktie;Kauf;92,84 EUR;102.128,68 EUR;08.03.2023;08.03.2023;Xetra;09.03.2023 10:30:11
HAMBORNER REIT AG;40001026;DE000A3H2333;Dreo-Tempsch, Maria Teresa;Aufsichtsrat;Aktie;Kauf;7,53 EUR;35.375,35 EUR;08.03.2023;08.03.2023;Xetra;09.03.2023 10:30:11
KST Beteiligungs AG;20000048;DE000A161309;Schmitt, Martin;Aufsichtsrat;Aktie;Kauf;1,28 EUR;10.215,50 EUR;08.03.2023;08.03.2023;Hamburg;09.03.2023 10:18:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Radigan, Ms. Elizabeth;Sonstige Führungsperson;Aktie;Sonstiges;0,00 EUR;0,00 EUR;10.03.2023;08.03.2023;;13.03.2023 10:33:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Barna, Mr. James;Sonstige Führungsperson;Aktie;Sonstiges;0,00 EUR;0,00 EUR;10.03.2023;08.03.2023;;13.03.2023 10:22:23
Diebold Nixdorf, Incorporated;50080191;US2536511031;Marquez, Mr. Octavio;Sonstige Führungsperson;Aktie;Sonstiges;0,00 EUR;0,00 EUR;10.03.2023;08.03.2023;;13.03.2023 10:16:29
Diebold Nixdorf, Incorporated;50080191;US2536511031;Marquez, Mr. Octavio;Sonstige Führungsperson;Aktie;Sonstiges;3,21 USD;62.184,12 USD;10.03.2023;08.03.2023;;13.03.2023 10:22:23
Diebold Nixdorf, Incorporated;50080191;US2536511031;Barna, Mr. James;Sonstige Führungsperson;Aktie;Sonstiges;3,21 USD;3.437,91 USD;10.03.2023;08.03.2023;;13.03.2023 10:27:55
Diebold Nixdorf, Incorporated;50080191;US2536511031;Leiken, Mr. Jonathan B.;Sonstige Führungsperson;Aktie;Sonstiges;3,21 USD;43.919,22 USD;10.03.2023;08.03.2023;;13.03.2023 10:33:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Leiken, Mr. Jonathan B.;Sonstige Führungsperson;Aktie;Sonstiges;0,00 EUR;0,00 EUR;10.03.2023;08.03.2023;;13.03.2023 10:27:55
Diebold Nixdorf, Incorporated;50080191;US2536511031;Heyden, Mr. Olaf;Sonstige Führungsperson;Aktie;Sonstiges;0,00 EUR;0,00 EUR;10.03.2023;08.03.2023;;13.03.2023 10:33:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Cantadurucu, Mr. Ilhami;Sonstige Führungsperson;Aktie;Sonstiges;3,21 USD;2.754,18 USD;10.03.2023;08.03.2023;;13.03.2023 10:33:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Cantadurucu, Mr. Ilhami;Sonstige Führungsperson;Aktie;Sonstiges;0,00 EUR;0,00 EUR;10.03.2023;08.03.2023;;13.03.2023 10:33:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Heyden, Mr. Olaf;Sonstige Führungsperson;Aktie;Sonstiges;3,21 USD;90.595,83 USD;10.03.2023;08.03.2023;;13.03.2023 10:33:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Radigan, Ms. Elizabeth;Sonstige Führungsperson;Aktie;Sonstiges;3,21 USD;3.444,33 USD;10.03.2023;08.03.2023;;13.03.2023 10:33:50
KRONES Aktiengesellschaft;40001126;DE0006335003;Schawei GmbH;in enger Beziehung;Aktie;Verkauf;114,46 EUR;899.633,81 EUR;10.03.2023;08.03.2023;;13.03.2023 09:28:32
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;26,80 EUR;37.817,30 EUR;10.03.2023;08.03.2023;Xetra;10.03.2023 11:55:40
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Alpha Invest GmbH;in enger Beziehung;Aktie;Verkauf;8,00 EUR;8.755.200,00 EUR;13.03.2023;08.03.2023;;14.03.2023 14:21:57
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Sonstiges;8,00 EUR;8.755.200,00 EUR;13.03.2023;08.03.2023;;14.03.2023 14:12:31
Biofrontera AG;40005059;DE0006046113;Deutsche Balaton Aktiengesellschaft;in enger Beziehung;Aktie;Kauf;1,27 EUR;635,00 EUR;13.03.2023;08.03.2023;Xetra;13.03.2023 14:11:34
KST Beteiligungs AG;20000048;DE000A161309;Schmitt, Martin;Aufsichtsrat;Aktie;Kauf;1,28 EUR;1.536,00 EUR;08.03.2023;07.03.2023;Stuttgart;09.03.2023 10:18:50
Biofrontera AG;40005059;DE0006046113;Deutsche Balaton Aktiengesellschaft;in enger Beziehung;Aktie;Kauf;1,27 EUR;6.718,30 EUR;10.03.2023;07.03.2023;Xetra;13.03.2023 09:11:45
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Babelsberger Beteiligungs GmbH;in enger Beziehung;Aktie;Verkauf;8,00 EUR;4.161.416,00 EUR;10.03.2023;07.03.2023;;13.03.2023 09:46:08
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Sonstiges;8,00 EUR;4.161.416,00 EUR;10.03.2023;07.03.2023;;13.03.2023 09:40:21
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;26,99 EUR;15.924,60 EUR;10.03.2023;07.03.2023;Xetra;10.03.2023 11:55:40
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Kauf;11,20 EUR;5.600,00 EUR;10.03.2023;07.03.2023;Xetra;10.03.2023 11:49:55
Ekotechnika AG;40020213;DE000A161234;Buwitt, Lars Bjarne;Aufsichtsrat;Aktie;Kauf;19,20 EUR;1.920,00 EUR;07.03.2023;06.03.2023;Börse Düsseldorf;08.03.2023 09:54:35
Noratis AG;40026106;DE000A2E4MK4;Schröer, Dr. Henning;Aufsichtsrat;Aktie;Sonstiges;0,00 EUR;0,00 EUR;08.03.2023;06.03.2023;;10.03.2023 08:58:52
Noratis AG;40026106;DE000A3H2TV6;Schröer, Dr. Henning;Aufsichtsrat;Schuldtitel;Sonstiges;0,00 EUR;0,00 EUR;08.03.2023;06.03.2023;;10.03.2023 08:53:35
VERBIO Vereinigte BioEnergie AG;40005572;DE000A0JL9W6;Krämer, Ulrike;Aufsichtsrat;Aktie;Kauf;47,18 EUR;23.592,00 EUR;08.03.2023;06.03.2023;Tradegate;09.03.2023 09:53:12
Ekotechnika AG;40020213;DE000A161234;Buwitt, Lars Bjarne;Aufsichtsrat;Aktie;Kauf;19,49 EUR;20.266,00 EUR;07.03.2023;06.03.2023;XETRA;08.03.2023 09:59:56
Ekotechnika AG;40020213;DE000A161234;Buwitt, Lars Bjarne;Aufsichtsrat;Aktie;Kauf;19,10 EUR;1.146,00 EUR;07.03.2023;06.03.2023;Berlin Tradegate;08.03.2023 09:54:35
WR Wohnraum AG;40031409;DE000A2P8KF6;Matador Secondary Private Equity AG;in enger Beziehung;Aktie;Kauf;21,00 EUR;12.917.331,00 EUR;08.03.2023;06.03.2023;;09.03.2023 09:47:09
WR Wohnraum AG;40031409;DE000A2P8KF6;ELF Partners Group AG;in enger Beziehung;Aktie;Verkauf;21,00 EUR;12.917.331,00 EUR;08.03.2023;06.03.2023;;09.03.2023 09:53:12
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;27,30 EUR;7.289,10 EUR;07.03.2023;06.03.2023;Xetra;08.03.2023 10:16:53
SynBiotic SE;40030289;DE000A3E5A59;MARKTFLAGGE GmbH;in enger Beziehung;Aktie;Sonstiges;0,00 EUR;0,00 EUR;05.03.2023;05.03.2023;;07.03.2023 06:01:32
SynBiotic SE;40030289;DE000A3E5A59;doinglean Ventures GmbH;in enger Beziehung;Aktie;Sonstiges;0,00 EUR;0,00 EUR;05.03.2023;05.03.2023;;07.03.2023 06:01:32
FRoSTA AG;40000841;DE0006069008;Ahlers, Felix;Vorstand;Aktie;Sonstiges;60,00 EUR;6.023,12 EUR;06.03.2023;03.03.2023;Börse Frankfurt;07.03.2023 06:01:32
Deutsche Beteiligungs AG;40000951;DE000A1TNUT7;Hunecke, Jannick;Vorstand;Aktie;Sonstiges;30,80 EUR;50.827,10 EUR;03.03.2023;03.03.2023;XETRA;07.03.2023 06:01:32
Deutsche Beteiligungs AG;40000951;DE000A1TNUT7;Alzin, Tom;Vorstand;Aktie;Sonstiges;30,76 EUR;50.751,38 EUR;03.03.2023;03.03.2023;XETRA;07.03.2023 06:01:32
Bayer Aktiengesellschaft;40001030;DE000BAY0017;Cousin, Ertharin;Aufsichtsrat;Aktie;Sonstiges;15,27 USD;74.059,50 USD;07.03.2023;03.03.2023;;07.03.2023 14:10:27
Elmos Semiconductor SE;40001726;DE0005677108;Schellenberg, Sven-Olaf;Aufsichtsrat;Aktie;Verkauf;78,26 EUR;54.780,00 EUR;06.03.2023;03.03.2023;Tradegate;07.03.2023 06:01:32
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Babelsberger Beteiligungs GmbH;in enger Beziehung;Aktie;Verkauf;7,90 EUR;1.374.157,60 EUR;08.03.2023;03.03.2023;;09.03.2023 10:06:24
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Sonstiges;7,90 EUR;1.374.157,60 EUR;08.03.2023;03.03.2023;;09.03.2023 10:06:24
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;27,23 EUR;24.589,90 EUR;07.03.2023;03.03.2023;Xetra;08.03.2023 10:10:57
